id,movie_id,commenter,rating,content,comment_time,created_at
10001,1,如小果,5星,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,2008-02-27 21:43:23,2026-05-13 14:52:20
10002,1,犀牛,5星,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,2005-10-28 00:28:07,2026-05-13 14:52:20
10003,1,711|湯不餓,5星,策划了19年的私奔……,2010-03-27 21:30:29,2026-05-13 14:52:20
10004,1,艾小柯,5星,关于希望最强有力的注释。,2006-06-20 03:18:55,2026-05-13 14:52:20
10005,1,Eve|Classified,5星,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。 当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？ 经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,2008-05-09 23:15:34,2026-05-13 14:52:20
10006,1,寂地,5星,"超级喜欢超级喜欢,不看的话人生不圆满.",2006-01-02 23:57:15,2026-05-13 14:52:20
10007,1,葱,5星,这样的男人谁会舍得背叛。。。,2012-05-28 22:57:42,2026-05-13 14:52:20
10008,1,veronique,5星,"一部没有爱情与美女的电影,却光芒四射",2006-06-15 18:56:18,2026-05-13 14:52:20
10009,1,影志,5星,"Fear Can Hold You Prisoner, Hope Can Set You Free",2006-02-04 05:58:22,2026-05-13 14:52:20
10010,1,珍妮的肖像🦤,5星,没有人会不喜欢吧！书和电影都好。,2006-11-13 08:41:13,2026-05-13 14:52:20
10011,1,如是,5星,还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。,2018-03-14 11:48:26,2026-05-13 14:52:20
10012,1,朝暮雪,5星,当雷电劈开圣经扉页的刹那，污水管道的血污里开出了鸢尾花。那个墨西哥海岸的约定不是谎言，是囚徒用月光编织的绳梯，每个绳结都系着太平洋咸涩的潮汐。 有的鸟注定属于天空，有的琴弦永远颤动在休止符之外。安迪游向暴雨的姿态，像蝴蝶挣裂了琥珀的裹尸布。 当他撕开雨幕的瞬间，整个太平洋都听见了，人类心脏深处亘古回荡的潮声。 我们看见自己正从冰川纪的冻土里抽芽，而安迪的锤子，不过是春天叩击冻土的第一声心跳。 当狱警的枪声惊醒冬眠的蜥蜴，我们终于在肖申克的废墟里看见——所有镣铐都是水做的牢笼，而自由不过是场优雅的溺水。 真正的监狱从来不是有形的围墙，而是我们心中对体制的臣服。当我们学会在绝望中保持希望，在黑暗中寻找光明，就已经完成了精神的越狱。 原来，自由不在远方，而在每个人的心中。,2012-08-07 15:39:12,2026-05-13 14:52:20
10013,1,私享史,5星,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！ 说起来，自打高一时看过《肖申克的救赎》，男主角安迪的精神就持续影响着我，成为我价值观的一部分。那种持续不断给有关机构写信申请图书馆的精神，那种拒绝“忙着活，忙着死”的人生的精神，那种迫不得已作恶却良心不泯正义终彰的精神，那种享受生命中每一刻微小的美好的精神，那种在困境中梦想着远方有一小块属于自己乐土的精神，那种甘于平凡且活得自在的精神。一言以蔽之，那种属于“人性的光辉”的精神。,2005-10-08 14:35:04,2026-05-13 14:52:20
10014,1,挽梦忆笙歌,5星,一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。,2018-01-13 11:21:05,2026-05-13 14:52:20
10015,1,文泽尔,4星,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope,2008-01-14 01:53:08,2026-05-13 14:52:20
10016,1,南笙,5星,对不起，我戒酒了。,2012-01-06 23:02:43,2026-05-13 14:52:20
10017,1,理想多钱一斤啊,4星,"Hope is a good thing, and maybe the best thing of all.",2009-10-07 19:58:08,2026-05-13 14:52:20
10018,1,Doublebitch,4星,绝对是期待过高导致有点失望,2007-12-24 17:50:21,2026-05-13 14:52:20
10019,1,小耳朵图吗,5星,越狱我感觉就是改编自这个,2007-08-21 06:50:24,2026-05-13 14:52:20
10020,1,快乐人生,4星,不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分,2018-01-04 11:51:34,2026-05-13 14:52:20
10021,2,momo,5星,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,2007-11-21 20:38:33,2026-05-13 14:52:20
10022,2,[己注销],4星,被“历史”绑架了的两个小人物…… 《活着》和《霸王别姬》不是中国电影的起点，而是终点……,2009-07-13 23:54:13,2026-05-13 14:52:20
10023,2,沉歌,5星,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。,2007-10-14 15:39:21,2026-05-13 14:52:20
10024,2,kingfish,5星,"不解,拍出过霸王别姬的人怎能拍出无极来",2006-03-22 12:32:08,2026-05-13 14:52:20
10025,2,蚂蚁没问题,5星,就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿,2009-07-13 23:47:06,2026-05-13 14:52:20
10026,2,艾小柯,5星,最优秀的中国电影,2006-06-16 01:32:33,2026-05-13 14:52:20
10027,2,凯瑟琳小姐,5星,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此,2010-01-17 18:03:20,2026-05-13 14:52:20
10028,2,香水瓶,5星,君王意气尽 贱妾何聊生,2006-04-15 19:25:43,2026-05-13 14:52:20
10029,2,大头绿豆,4星,不疯魔，不成活,2005-09-04 11:42:23,2026-05-13 14:52:20
10030,2,莫呼洛迦-屁股上的青春在歌唱,5星,仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。,2007-02-25 15:03:25,2026-05-13 14:52:20
10031,2,Holocence,5星,菊仙是个好女人,2011-03-20 15:35:18,2026-05-13 14:52:20
